name,sector,main_competitors,ranking_score
Nvidia,"Hardware, AI model, ICT","AMD, Intel, Google, Broadcom, Qualcomm",5000000.0
Google,"AI model, Media & Entertainment, Sales & Marketing","Microsoft, OpenAI, Perpexity AI, Amazon, bytedanse, Netflix, Apple, Tesla",4560000.0
Alphabet Inc.,"Cloud Provider, Media & Entertainment, Advertising","Microsoft, Amazon, Apple, Meta, Oracle, OpenAI, Anthropic, ByteDance, Tesla, Baidu",4120000.0
Apple,ICT,"Google, Microsoft, Samsung, Amazon, Xiaomi, Huawei, Oppo, Vivo, Lenovo, HP, Dell, Spotify, Netflix, Amazon Prime Video, Disney+, Meta, OpenAI",4000000.0
Microsoft,"Cloud Provider, AI model, Professional Services","Amazon, Google, Meta, Apple, Sony, Oracle",3450000.0
Amazon,,"Walmart, Temu, Shein, Alibaba, Microsoft, Google, Netflix, Disney, Apple, Meta",2900000.0
Broadcom,"Hardware, ICT, Manufacturing & Operations","Nvidia, Qualcomm, Intel, Marvell Technology",1835000.0
Meta,"AI model, Media & Entertainment, Advertising","Google, ByteDance, Snap, X, Apple, SnapChat, Amazon, Sony, OpenAI, Anthropic, Telegram, WeChat",1503000.0
SpaceX,"Cloud Provider, Data, Aerospace","Boeing, ArianeGroup, AWS(AWS), Microsoft Azure, Google Cloud, CoreWeave, Lambda Labs, OpenAI",1480000.0
AWS,"Hardware, ICT","Microsoft Azure, Google Cloud, Alibaba, IBM, Oracle",1200000.0
Tesla,"Energy & Utilities, Transport & Mobility, Robotics","BYD, Volkswagen Group, BMW, Hyundai-Kia, Toyta, Rivian, Lucid Motors, Nio, Xiaomi, Waymo",1180000.0
Samsung Electronics,Hardware,"Apple, Xiaimi, Oppo, SK hynix, Micron technology, TSMC, LG lectronics, Hisense, TCL",1000300.0
AMD,Hardware,"Nvidia, Broadcom, Marvell, Intel, Qualcomm, Apple, Alphabet(TPU)",794000.0
Y combinator,,"Techstars, 500 Global, Sequoia, Horowitz, Antler, Entrepreneur First",600000.0
ByteDance,Media & Entertainment,"Meta, YouTube, Tencent, OpenAI, Google(DeepMind)",550000.0
Intel,"Hardware, CPU, GPU","AMS, Qualcomm, Nvidia, TSMC, Samsung Electronics",508000.0
Cisco,,"Arista Networks, Juniper Networks, Huawei, Nokia, Palo alto Networks, Fortinet, CrowdStrike, Check Point, Microsoft, Zoom",465000.0
Oracle,"Cloud Provider, Professional Services, Database","Amazon, Google, Microsoft, SAP, Saleforce",408000.0
YouTube,Media & Entertainment,"TikTok, Instagram, Twitch, Vimeo, Deezer",400000.0
Palantir,"Defence, Professional Services, AI model","Lockheed Martin, Raytheon, Booz Allen Hamilton, ChapsVision, Snowflake, Databricks, Microsoft, Amazon",318020.0
Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce","Pinduoduo, JD.com, ByteDance, Temu, Shein, Amazon, Made-in-China.com, Global Sources",282750.0
ARM Holdings,Hardware,"Intel, AMD, Meta, Google, Qualcomm",253350.0
Adobe,ICT,"Canva, Figma, Apple, Midjourney / Magnific AI, OpenAI(Sora), Runway, Rephrase.ai(2023)",252800.0
IBM,"AI model, Cloud Provider, Professional Services","Microsoft, Oracle, Google, SAP, Accenture, Capgemini, Infosy, Cognizant, Tata, OpenIA, Palantir,",213000.0
Salesforce,"Professional Services, Sales & Marketing, CRM","Microsoft (Dynamics 365), Oracle (CX Cloud) ,  SAP (Customer Experience), HubSpot",180000.0
Qualcomm,Hardware,"MediaTek, Nvidia, Apple Silicon, Samsung Electronics, Intel",172240.0
Shopify,Retail & E-commerce,"Salesforce, Adobe, Woocommerce, Wix ecommerce, Squarespace, SAP, Amazon",160000.0
OpenAI,,"Cohere, Anthropic, Google, Meta, Moonshot AI, Deepseek, Z.ai, Minimax, Alibaba(Qwen), Tencent, Baidu, Bytedanse, Moonshot AI",157000.0
Cloudflare,"Cloud Provider, IT & Security","Akamai, Fastly, Imperva, Amazon(AWS Shield), Microsoft(Azure)",103500.0
